government,org_name,repo_name,repo_full_name,repo_age_days,repo_age_months,commit_frequency_per_month,avg_issue_resolution_time_hours,open_issues_percentage,last_commit_date,days_since_last_commit,num_contributors,num_forks,num_stars,merged_pr_percentage,external_pr_percentage,has_readme,has_license,has_contributing,has_cicd,total_commits,open_issues,closed_issues,open_prs,closed_prs
netherlands,dataoverheid,donl_d7,dataoverheid/donl_d7,3528,115.90013140604468,0.0603968253968253,,0.0,2016-12-22 10:33:02,3003.0,3,2,3,0.0,0.0,True,False,False,False,7,0,0,0,0
netherlands,dataoverheid,ckanext-donl,dataoverheid/ckanext-donl,3478,114.25755584756898,0.0175043128234617,,0.0,2016-12-22 10:50:32,3003.0,2,0,3,0.0,0.0,True,False,False,False,2,0,0,0,0
netherlands,dataoverheid,ckan_settings,dataoverheid/ckan_settings,3276,107.6215505913272,0.0092918192918192,,0.0,2016-03-24 09:58:02,3276.0,1,0,0,0.0,0.0,True,False,False,False,1,0,0,0,0
netherlands,dataoverheid,donl_ngr,dataoverheid/donl_ngr,2997,98.45597897503283,0.0304704704704704,14.212777777777776,0.0,2017-01-18 08:07:56,2976.0,2,0,0,0.0,0.0,True,False,False,False,3,0,1,0,0
netherlands,dataoverheid,donl_cbs,dataoverheid/donl_cbs,2997,98.45597897503283,0.0203136469803136,,0.0,2016-12-29 08:04:35,2996.0,2,0,0,0.0,0.0,True,False,False,False,2,0,0,0,0
netherlands,dataoverheid,donl_dpf,dataoverheid/donl_dpf,2997,98.45597897503283,0.0203136469803136,,0.0,2016-12-28 08:17:01,2997.0,2,0,0,0.0,0.0,True,False,False,False,2,0,0,0,0
netherlands,dataoverheid,DCAT-AP-NL,dataoverheid/DCAT-AP-NL,2814,92.44415243101184,0.2596162046908315,,100.0,2018-11-21 12:24:21,2304.0,4,0,2,0.0,0.0,True,False,False,False,24,1,0,0,0
netherlands,dataoverheid,waardelijsten,dataoverheid/waardelijsten,2813,92.4113009198423,0.010821187344472,810.7213888888889,0.0,2017-07-18 12:10:39,2795.0,1,0,0,0.0,0.0,False,False,False,False,1,0,1,0,0
netherlands,dataoverheid,ckanext-dataoverheid,dataoverheid/ckanext-dataoverheid,2082,68.39684625492772,0.277790585975024,197.80171296296297,7.6923076923076925,2020-09-15 15:23:18,1640.0,2,1,0,91.66666666666666,100.0,True,False,True,False,19,1,12,1,11
netherlands,dataoverheid,dcat-ap-donl-waardelijsten,dataoverheid/dcat-ap-donl-waardelijsten,1774,58.27858081471747,0.137271702367531,272.5705555555556,25.0,2022-10-04 11:55:46,891.0,1,1,0,66.66666666666666,100.0,True,False,False,False,8,1,3,1,2
netherlands,dataoverheid,ckan-metadata-export,dataoverheid/ckan-metadata-export,1766,58.01576872536136,0.0689467723669309,58.316944444444445,50.0,2023-05-25 09:45:25,658.0,2,0,0,50.0,100.0,True,False,False,False,4,1,1,1,1
