repo_name,repo_full_name,Software Title,Description
donl_d7,dataoverheid/donl_d7,Donl_d7,https://data.overheid.nl Drupal 7 project
ckanext-donl,dataoverheid/ckanext-donl,ckanext-donl,Dit is Indicia's CKAN-extensie voor data.overheid.nl
ckan_settings,dataoverheid/ckan_settings,ckan_settings,"To be clear, generate a new secret-string in who.ini if you use this code."
donl_ngr,dataoverheid/donl_ngr,Download Composer,Run this in your terminal to get the latest Composer version:
donl_cbs,dataoverheid/donl_cbs,donl_cbs,De CBS import gebruikt binnen data.overheid.nl
donl_dpf,dataoverheid/donl_dpf,donl_dpf,De DPF import gebruikt binnen data.overheid.nl
DCAT-AP-NL,dataoverheid/DCAT-AP-NL,DCAT-AP-NL: DCAT Applicatieprofiel voor Nederland,"Deze github repository wordt gebruikt voor het bijhouden van DCAT-AP-NL. Het bevat de meest actuele redactieversie, inclusief specifieke gepubliceerde versies."
ckanext-dataoverheid,dataoverheid/ckanext-dataoverheid,ckanext-dataoverheid,CKAN extension used by [Data.Overheid.nl](https://data.overheid.nl) to implement the [DCAT-AP-DONL 1.1](https://dcat-ap-donl.readthedocs.io) metadata standard into CKAN.
dcat-ap-donl-waardelijsten,dataoverheid/dcat-ap-donl-waardelijsten,waardelijsten.dcat-ap-donl.nl,
ckan-metadata-export,dataoverheid/ckan-metadata-export,CKAN Metadata Export,
donlsync-mappings,dataoverheid/donlsync-mappings,DataOverheid / DonlSync mappings,
donlsync,dataoverheid/donlsync,Data.Overheid.nl synchronization,Synchronizes external catalogs with the [data.overheid.nl](https://data.overheid.nl) catalog.
solr-configsets,dataoverheid/solr-configsets,Solr Configsets,
solr-index-tasks,dataoverheid/solr-index-tasks,Solr Index Tasks,
drupal-web,dataoverheid/drupal-web,Data.overheid Drupal,This repository contains the Drupal installation which is used for
dcat-ap-donl,dataoverheid/dcat-ap-donl,Data.Overheid.nl / DCAT-AP-DONL,Deze repository is onderdeel van [data.overheid.nl](https://data.overheid.nl). Het ondersteunt de activiteiten van de
usagov.github.io,usagov/usagov.github.io,A Simple Redirect,"This usagov.github.io repo contains a single html file that will send visitors to http://usagov.github.io along to [USA.gov's Developer Resources Page](http://www.usa.gov/developer ""Developer Resources on USA.gov"")."
webforms,usagov/webforms,Combined repository for the Feedback and Orderform applications.,
usa.gov,usagov/usa.gov,USA.gov & GobiernoUSA.gov Feedback,The goal of this feedback repository is to facilitate a conversation about how to improve the USA.gov and GobiernoUSA.gov beta websites. Source code will not be located here (although we’re exploring putting more of our code out on GitHub).
